1	1	1	100	-1	0
2	1	1	100	-1	1492743636
3	1	1	100	-1	1492743676
4	1	1	100	-1	1492743792
5	1	1	100	-1	1492743839
6	1	2	200	1	1492743866
7	1	1	100	-1	1492744005
8	1	1	100	-1	1492744258
9	1	2	200	1	1492744437
10	1	3	300	1	1492744449
11	1	1	100	-1	1492744465
12	1	1	100	-1	1492744468
13	1	1	100	-1	1492744470
14	1	2	200	1	1492744477
15	1	1	100	-1	1492744485
16	1	2	200	1	1492744620
17	1	1	100	-1	1492744671
18	1	1	100	-1	1492745582
19	1	1	100	-1	1492745667
20	1	1	100	-1	1492745688
21	1	1	100	-1	1492745690
22	1	1	100	-1	1492745694
23	1	2	200	1	1492745696
24	1	2	200	1	1492745773
25	1	1	100	-1	1492746064
26	1	2	244	1	1492746082
27	1	1	50	-1	1492746149
28	1	3	150	1	1492746161
29	1	1	155	-1	1492752026
30	1	1	155	-1	1492752082
31	1	1	155	-1	1492752084
32	1	1	155	-1	1492752087
33	1	2	310	1	1492752089
34	1	1	121	-1	1492752493
35	1	1	121	-1	1492752495
36	1	2	242	1	1492752497
37	1	1	1000	-1	1492827317
38	1	2	200	1	1492844424
39	1	1	100	-1	1492844447
40	1	1	100	-1	1492844480
41	1	1	100	-1	1492844510
42	1	1	100	-1	1492844519
43	1	1	100	-1	1492844528
44	1	1	100	-1	1492844531
45	1	2	200	1	1492844533
46	1	2	200	1	1492845552
47	1	2	200	1	1492846999
